GeneID,Term,Type,Description
SMO1,sly00100,KEGG,Steroid biosynthesis
SNAT,sly00380,KEGG,Tryptophan metabolism
OSC2,sly00909,KEGG,Sesquiterpenoid and triterpenoid biosynthesis
GPI,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101262598,sly00073,KEGG,Cutin
LOC101262611,sly00500,KEGG,Starch and sucrose metabolism
LOC101262647,sly00564,KEGG,Glycerophospholipid metabolism
LOC101262657,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101262700,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101262709,sly00908,KEGG,Zeatin biosynthesis
LOC101262729,sly00250,KEGG,Alanine
ALD3H1,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101262824,sly00380,KEGG,Tryptophan metabolism
ACAT3,sly00071,KEGG,Fatty acid degradation
ACAT4,sly00071,KEGG,Fatty acid degradation
LOC101262858,sly00062,KEGG,Fatty acid elongation
LOC101262919,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101262942,sly00030,KEGG,Pentose phosphate pathway
LOC101262954,sly00270,KEGG,Cysteine and methionine metabolism
LOC101262991,sly00062,KEGG,Fatty acid elongation
LOC101263001,sly00030,KEGG,Pentose phosphate pathway
LOC101263012,sly00908,KEGG,Zeatin biosynthesis
OTC,sly00220,KEGG,Arginine biosynthesis
LOC101263024,sly00591,KEGG,Linoleic acid metabolism
LOC101263032,sly00941,KEGG,Flavonoid biosynthesis
LOC101263035,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101263073,sly00904,KEGG,Diterpenoid biosynthesis
LOC101263094,sly00230,KEGG,Purine metabolism
LOC101263129,sly00230,KEGG,Purine metabolism
LOC101263138,sly00260,KEGG,Glycine
LOC101263146,sly00770,KEGG,Pantothenate and CoA biosynthesis
LOC101263147,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101263236,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101263281,sly00740,KEGG,Riboflavin metabolism
LOC101263304,sly00908,KEGG,Zeatin biosynthesis
LOC101263372,sly00350,KEGG,Tyrosine metabolism
LOC101263402,sly00960,KEGG,Tropane
LOC101263431,sly00350,KEGG,Tyrosine metabolism
LOC101263493,sly00941,KEGG,Flavonoid biosynthesis
LOC101263519,sly00460,KEGG,Cyanoamino acid metabolism
LOC101263529,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101263546,sly00740,KEGG,Riboflavin metabolism
LOC101263563,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101263579,sly00860,KEGG,Porphyrin metabolism
LOC101263592,sly00071,KEGG,Fatty acid degradation
LOC101263606,sly00062,KEGG,Fatty acid elongation
LOC101263675,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101263696,sly00500,KEGG,Starch and sucrose metabolism
LOC101263709,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101263711,sly00030,KEGG,Pentose phosphate pathway
LOC101263738,sly00860,KEGG,Porphyrin metabolism
LOC101263745,sly00071,KEGG,Fatty acid degradation
LOC101263760,sly00260,KEGG,Glycine
LOC101263770,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101263783,sly00999,KEGG,Biosynthesis of various plant secondary metabolites
LOC101263792,sly00230,KEGG,Purine metabolism
LOC101263807,sly00270,KEGG,Cysteine and methionine metabolism
LOC101263817,sly00400,KEGG,Phenylalanine
LOC101263844,sly00040,KEGG,Pentose and glucuronate interconversions
LOC101263847,sly00902,KEGG,Monoterpenoid biosynthesis
LOC101263911,sly00062,KEGG,Fatty acid elongation
ldh2,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101263925,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101263951,sly00100,KEGG,Steroid biosynthesis
LOC101263963,sly00740,KEGG,Riboflavin metabolism
LOC101263978,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101263982,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101263993,sly00620,KEGG,Pyruvate metabolism
LOC101264055,sly00904,KEGG,Diterpenoid biosynthesis
ER69,sly00270,KEGG,Cysteine and methionine metabolism
LOC101264109,sly00030,KEGG,Pentose phosphate pathway
LOC101264112,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101264118,sly00030,KEGG,Pentose phosphate pathway
LOC101264142,sly00908,KEGG,Zeatin biosynthesis
LOC101264154,sly00564,KEGG,Glycerophospholipid metabolism
LOC101264185,sly00564,KEGG,Glycerophospholipid metabolism
LOC101264195,sly00052,KEGG,Galactose metabolism
LOC101264212,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101264238,sly00564,KEGG,Glycerophospholipid metabolism
LOC101264255,sly00030,KEGG,Pentose phosphate pathway
LOC101264273,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264276,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101264311,sly00061,KEGG,Fatty acid biosynthesis
LOC101264328,sly00940,KEGG,Phenylpropanoid biosynthesis
TPS33,sly00909,KEGG,Sesquiterpenoid and triterpenoid biosynthesis
LOC101264422,sly00230,KEGG,Purine metabolism
LOC101264425,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101264432,sly00400,KEGG,Phenylalanine
LOC101264434,sly00260,KEGG,Glycine
LOC101264442,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264475,sly00220,KEGG,Arginine biosynthesis
LOC101264480,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264518,sly00564,KEGG,Glycerophospholipid metabolism
LOC101264587,sly00260,KEGG,Glycine
LOC101264631,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101264650,sly00564,KEGG,Glycerophospholipid metabolism
TPS35,sly00909,KEGG,Sesquiterpenoid and triterpenoid biosynthesis
LOC101264680,sly00564,KEGG,Glycerophospholipid metabolism
LOC101264681,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101264707,sly00290,KEGG,Valine
LOC101264724,sly00051,KEGG,Fructose and mannose metabolism
LOC101264739,sly00940,KEGG,Phenylpropanoid biosynthesis
C5-SD,sly00100,KEGG,Steroid biosynthesis
LOC101264803,sly00900,KEGG,Terpenoid backbone biosynthesis
LOC101264818,sly00260,KEGG,Glycine
LOC101264819,sly00592,KEGG,alpha-Linolenic acid metabolism
LOC101264821,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264835,sly00561,KEGG,Glycerolipid metabolism
LOC101264854,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264863,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
LOC101264873,sly00220,KEGG,Arginine biosynthesis
LOC101264988,sly00960,KEGG,Tropane
LOC101264992,sly00380,KEGG,Tryptophan metabolism
LOC101264994,sly00052,KEGG,Galactose metabolism
LOC101265026,sly00908,KEGG,Zeatin biosynthesis
LOC101265030,sly00400,KEGG,Phenylalanine
LOC101265039,sly00908,KEGG,Zeatin biosynthesis
LOC101265043,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265049,sly00908,KEGG,Zeatin biosynthesis
LOC101265059,sly00220,KEGG,Arginine biosynthesis
LOC101265082,sly00270,KEGG,Cysteine and methionine metabolism
LOC101265096,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265182,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265187,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265227,sly00071,KEGG,Fatty acid degradation
LOC101265236,sly00220,KEGG,Arginine biosynthesis
LOC101265246,sly00051,KEGG,Fructose and mannose metabolism
LOC101265278,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101265285,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265288,sly00130,KEGG,Ubiquinone and other terpenoid-quinone biosynthesis
HMG2,sly00900,KEGG,Terpenoid backbone biosynthesis
LOC101265293,sly00960,KEGG,Tropane
LOC101265297,sly00380,KEGG,Tryptophan metabolism
LOC101265305,sly00905,KEGG,Brassinosteroid biosynthesis
LOC101265343,sly00270,KEGG,Cysteine and methionine metabolism
LOC101265353,sly00908,KEGG,Zeatin biosynthesis
LOC101265364,sly00564,KEGG,Glycerophospholipid metabolism
LOC101265372,sly00230,KEGG,Purine metabolism
LOC101265396,sly00902,KEGG,Monoterpenoid biosynthesis
LOC101265415,sly00330,KEGG,Arginine and proline metabolism
LOC101265440,sly00400,KEGG,Phenylalanine
LOC101265511,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265579,sly00860,KEGG,Porphyrin metabolism
LOC101265599,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265606,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265614,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265630,sly00230,KEGG,Purine metabolism
LOC101265662,sly00908,KEGG,Zeatin biosynthesis
LOC101265664,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265671,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265690,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265706,sly00908,KEGG,Zeatin biosynthesis
LOC101265715,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265735,sly00030,KEGG,Pentose phosphate pathway
LOC101265745,sly00740,KEGG,Riboflavin metabolism
LOC101265787,sly00940,KEGG,Phenylpropanoid biosynthesis
LOC101265804,sly00270,KEGG,Cysteine and methionine metabolism
LOC101265817,sly00010,KEGG,Glycolysis / Gluconeogenesis
